q,v,viable
3.895469820462929,-5.451505016722408,1.0
3.9007233198836477,-5.451505016722408,1.0
3.9059768193043665,-5.451505016722408,1.0
3.911230318725085,-5.451505016722408,1.0
3.916483818145804,-5.451505016722408,1.0
3.9217373175665227,-5.451505016722408,1.0
3.9269908169872414,-5.451505016722408,1.0
3.8009068308899923,-5.384615384615385,1.0
3.806160330310711,-5.384615384615385,1.0
3.8114138297314297,-5.384615384615385,1.0
3.8166673291521485,-5.384615384615385,1.0
3.8219208285728667,-5.384615384615385,1.0
3.8271743279935855,-5.384615384615385,1.0
3.832427827414304,-5.384615384615385,1.0
3.837681326835023,-5.384615384615385,1.0
3.8429348262557417,-5.384615384615385,1.0
3.8481883256764604,-5.384615384615385,1.0
3.853441825097179,-5.384615384615385,1.0
3.858695324517898,-5.384615384615385,1.0
3.8639488239386166,-5.384615384615385,1.0
3.8692023233593353,-5.384615384615385,1.0
3.874455822780054,-5.384615384615385,1.0
3.879709322200773,-5.384615384615385,1.0
3.8849628216214915,-5.384615384615385,1.0
3.8902163210422103,-5.384615384615385,1.0
3.895469820462929,-5.384615384615385,1.0
3.9007233198836477,-5.384615384615385,1.0
3.9059768193043665,-5.384615384615385,1.0
3.911230318725085,-5.384615384615385,1.0
3.916483818145804,-5.384615384615385,1.0
3.9217373175665227,-5.384615384615385,1.0
3.9269908169872414,-5.384615384615385,1.0
3.785146332627836,-5.317725752508362,1.0
3.790399832048555,-5.317725752508362,1.0
3.7956533314692735,-5.317725752508362,1.0
3.8009068308899923,-5.317725752508362,1.0
3.806160330310711,-5.317725752508362,1.0
3.8114138297314297,-5.317725752508362,1.0
3.8166673291521485,-5.317725752508362,1.0
3.8219208285728667,-5.317725752508362,1.0
3.8271743279935855,-5.317725752508362,1.0
3.832427827414304,-5.317725752508362,1.0
3.837681326835023,-5.317725752508362,1.0
3.8429348262557417,-5.317725752508362,1.0
3.8481883256764604,-5.317725752508362,1.0
3.853441825097179,-5.317725752508362,1.0
3.858695324517898,-5.317725752508362,1.0
3.8639488239386166,-5.317725752508362,1.0
3.8692023233593353,-5.317725752508362,1.0
3.874455822780054,-5.317725752508362,1.0
3.879709322200773,-5.317725752508362,1.0
