q,v,viable
3.4461347985806405,-3.4693877551020407,1.0
3.478191866474414,-3.4693877551020407,1.0
3.510248934368187,-3.4693877551020407,1.0
3.5423060022619604,-3.4693877551020407,1.0
3.5743630701557336,-3.4693877551020407,1.0
3.6064201380495073,-3.4693877551020407,1.0
3.6384772059432806,-3.4693877551020407,1.0
3.6705342738370543,-3.4693877551020407,1.0
3.7025913417308276,-3.4693877551020407,1.0
3.734648409624601,-3.4693877551020407,1.0
3.766705477518374,-3.4693877551020407,1.0
3.7987625454121474,-3.4693877551020407,1.0
3.830819613305921,-3.4693877551020407,1.0
3.8628766811996944,-3.4693877551020407,1.0
3.894933749093468,-3.4693877551020407,1.0
3.9269908169872414,-3.4693877551020407,1.0
3.1576211875366798,-3.0612244897959187,1.0
3.189678255430453,-3.0612244897959187,1.0
3.2217353233242267,-3.0612244897959187,1.0
3.253792391218,-3.0612244897959187,1.0
3.2858494591117733,-3.0612244897959187,1.0
3.3179065270055466,-3.0612244897959187,1.0
3.3499635948993203,-3.0612244897959187,1.0
3.3820206627930935,-3.0612244897959187,1.0
3.4140777306868673,-3.0612244897959187,1.0
3.4461347985806405,-3.0612244897959187,1.0
3.478191866474414,-3.0612244897959187,1.0
3.510248934368187,-3.0612244897959187,1.0
3.5423060022619604,-3.0612244897959187,1.0
3.5743630701557336,-3.0612244897959187,1.0
3.6064201380495073,-3.0612244897959187,1.0
3.6384772059432806,-3.0612244897959187,1.0
3.6705342738370543,-3.0612244897959187,1.0
3.7025913417308276,-3.0612244897959187,1.0
3.734648409624601,-3.0612244897959187,1.0
3.766705477518374,-3.0612244897959187,1.0
3.7987625454121474,-3.0612244897959187,1.0
3.830819613305921,-3.0612244897959187,1.0
3.8628766811996944,-3.0612244897959187,1.0
3.894933749093468,-3.0612244897959187,1.0
3.9269908169872414,-3.0612244897959187,1.0
3.029392915961586,-2.6530612244897958,1.0
3.0614499838553595,-2.6530612244897958,1.0
3.0935070517491328,-2.6530612244897958,1.0
3.1255641196429065,-2.6530612244897958,1.0
3.1576211875366798,-2.6530612244897958,1.0
3.189678255430453,-2.6530612244897958,1.0
3.2217353233242267,-2.6530612244897958,1.0
3.253792391218,-2.6530612244897958,1.0
3.2858494591117733,-2.6530612244897958,1.0
3.3179065270055466,-2.6530612244897958,1.0
3.3499635948993203,-2.6530612244897958,1.0
3.3820206627930935,-2.6530612244897958,1.0
3.4140777306868673,-2.6530612244897958,1.0
3.4461347985806405,-2.6530612244897958,1.0
3.478191866474414,-2.6530612244897958,1.0
3.510248934368187,-2.6530612244897958,1.0
3.5423060022619604,-2.6530612244897958,1.0
3.5743630701557336,-2.6530612244897958,1.0
3.6064201380495073,-2.6530612244897958,1.0
3.6384772059432806,-2.6530612244897958,1.0
3.6705342738370543,-2.6530612244897958,1.0
3.7025913417308276,-2.6530612244897958,1.0
3.734648409624601,-2.6530612244897958,1.0
3.766705477518374,-2.6530612244897958,1.0
3.7987625454121474,-2.6530612244897958,1.0
3.830819613305921,-2.6530612244897958,1.0
3.8628766811996944,-2.6530612244897958,1.0
3.894933749093468,-2.6530612244897958,1.0
3.9269908169872414,-2.6530612244897958,1.0
2.9011646443864927,-2.244897959183673,1.0
2.933221712280266,-2.244897959183673,1.0
2.9652787801740392,-2.244897959183673,1.0
2.997335848067813,-2.244897959183673,1.0
3.029392915961586,-2.244897959183673,1.0
3.0614499838553595,-2.244897959183673,1.0
3.0935070517491328,-2.244897959183673,1.0
3.1255641196429065,-2.244897959183673,1.0
3.1576211875366798,-2.244897959183673,1.0
3.189678255430453,-2.244897959183673,1.0
